Rank,Title,Score,Format,Date,Viewers,Studio,Genres,Source,Rating,Recommendation,Details,Prequel,Sequel,Samurai,Demons,Sports,Harem,Cars,Drama,Adventure,Suspense,Josei,Game,Space,Mystery,Horror,Shounen,Super Power,Music,Vampire,Boys Love,Military,Action,Romance,Slice of Life,Fantasy,Gourmet,Parody,Martial Arts,Ecchi,Sci-Fi,Seinen,Mecha,Avant Garde,School,Supernatural,Historical,Girls Love,Shoujo,Kids,Psychological,Police,Comedy,Media,Episodes
444,Cardcaptor Sakura,8.15,TV (70 eps),Apr 1998 - Mar 2000,"369,468",Madhouse,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'School', 'Shoujo']",Manga,PG - Children,Shugo Chara!,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,TV,70
445,Rosario to Vampire Capu2,6.94,TV (13 eps),Oct 2008 - Dec 2008,"368,489",Gonzo,"['Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'School', 'Vampire']",Manga,PG-13 - Teens 13 or older,Maburaho,['Prequel:'],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
446,Hanamonogatari,7.96,TV (5 eps),Aug 2014 - Aug 2014,"366,248",Shaft,"['Comedy', 'Mystery', 'Supernatural']",Light novel,R - 17+ (violence & profanity),Yuri Kuma Arashi,"['Adaptation:', 'Prequel:']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,5
447,Kizumonogatari III: Reiketsu-hen,8.81,Movie (1 eps),Jan 2017 - Jan 2017,"364,178",Shaft,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Light novel,R - 17+ (violence & profanity),Fate/stay night Movie: Heaven's Feel - III. Spring Song,"['Adaptation:', 'Sequel:', 'Prequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
448,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.04,TV (12 eps),Apr 2017 - Jul 2017,"362,296",J.C.Staff,"['Action', 'Adventure', 'Fantasy']",Light novel,PG-13 - Teens 13 or older,Sword Art Online,"['Adaptation:', 'Parent story:']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
449,Zero no Tsukaima F,7.48,TV (12 eps),Jan 2012 - Mar 2012,"361,336",J.C.Staff,"['Adventure', 'Fantasy', 'Romance', 'Ecchi']",Light novel,PG-13 - Teens 13 or older,Seireitsukai no Blade Dance,"['Adaptation:', 'Prequel:']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
450,Gakusen Toshi Asterisk 2nd Season,7.04,TV (12 eps),Apr 2016 - Jun 2016,"361,080",A-1 Pictures,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Rakudai Kishi no Cavalry,"['Adaptation:', 'Prequel:']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,TV,12
451,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7.22,TV (10 eps),Oct 2013 - Dec 2013,"360,581",Diomedéa,"['Comedy', 'Romance', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Date A Live,"['Adaptation:', 'Side story:']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,10
452,Shingeki no Kyojin OVA,7.85,OVA (3 eps),Dec 2013 - Aug 2014,"360,795",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Tokyo Ghoul,['Parent story:'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OVA,3
453,"Dakara Boku wa, H ga Dekinai.",6.6,TV (12 eps),Jul 2012 - Sep 2012,"359,857",feel.,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",Light novel,R+ - Mild Nudity,High School DxD,"['Adaptation:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
454,Kara no Kyoukai 1: Fukan Fuukei,7.61,Movie (1 eps),Dec 2007 - Dec 2007,"358,796",ufotable,"['Action', 'Mystery', 'Supernatural', 'Suspense']",Light novel,R - 17+ (violence & profanity),Fate/Zero,"['Adaptation:', 'Sequel:', 'Summary:', 'Other:']",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
455,Yojouhan Shinwa Taikei,8.59,TV (11 eps),Apr 2010 - Jul 2010,"357,944",Madhouse,"['Comedy', 'Mystery', 'Romance', 'Psychological']",Novel,R - 17+ (violence & profanity),NHK ni Youkoso!,"['Adaptation:', 'Side story:', 'Character:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TV,11
456,Inou-Battle wa Nichijou-kei no Naka de,7.1,TV (12 eps),Oct 2014 - Dec 2014,"357,496",Trigger,"['Comedy', 'Romance', 'Slice of Life', 'Supernatural', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Chuunibyou demo Koi ga Shitai!,['Adaptation:'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,TV,12
457,Watashi ga Motete Dousunda,7.04,TV (12 eps),Oct 2016 - Dec 2016,"357,228",Brain's Base,"['Comedy', 'Romance', 'Harem', 'School', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Ouran Koukou Host Club,['Adaptation:'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,TV,12
458,Shingeki no Bahamut: Genesis,7.65,TV (12 eps),Oct 2014 - Dec 2014,"357,010",MAPPA,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Demons']",Card game,R - 17+ (violence & profanity),Samurai Champloo,"['Summary:', 'Sequel:', 'Other:']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,12
459,Kizumonogatari II: Nekketsu-hen,8.6,Movie (1 eps),Aug 2016 - Aug 2016,"356,674",Shaft,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Light novel,R - 17+ (violence & profanity),Wonder Egg Priority,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
460,86,8.19,TV (11 eps),Apr 2021 - Jun 2021,"356,128",A-1 Pictures,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military']",Light novel,R - 17+ (violence & profanity),Aldnoah.Zero,"['Adaptation:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TV,11
461,Tsukimonogatari,8.12,TV (4 eps),Dec 2014 - Dec 2014,"356,333",Shaft,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",Light novel,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu,"['Adaptation:', 'Prequel:', 'Sequel:', 'Other:']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,4
462,Gleipnir,7.02,TV (13 eps),Apr 2020 - Jun 2020,"355,772",Pine Jam,"['Action', 'Mystery', 'Supernatural', 'Ecchi', 'Seinen']",Manga,R - 17+ (violence & profanity),Mirai Nikki (TV),['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,TV,13
463,Non Non Biyori,7.95,TV (12 eps),Oct 2013 - Dec 2013,"356,157",SILVER LINK.,"['Comedy', 'Slice of Life', 'School', 'Seinen']",Manga,PG-13 - Teens 13 or older,Yuru Camp△,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
464,Sekirei,7.09,TV (12 eps),Jul 2008 - Sep 2008,"355,832",Seven Arcs,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Super Power']",Manga,R+ - Mild Nudity,High School DxD,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
465,Free!: Eternal Summer,7.65,TV (13 eps),Jul 2014 - Sep 2014,"354,839",Animation Do,"['Comedy', 'Drama', 'Slice of Life', 'Sports', 'School']",Original,PG-13 - Teens 13 or older,Meganebu!,"['Prequel:', 'Side story:', 'Alternative version:', 'Sequel:']",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
466,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.56,TV (12 eps),Jan 2020 - Mar 2020,"354,470",SILVER LINK.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Game']",Light novel,PG-13 - Teens 13 or older,Kuma Kuma Kuma Bear,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
467,SK∞,8.04,TV (12 eps),Jan 2021 - Apr 2021,"354,171",Bones,"['Comedy', 'Sports']",Original,PG-13 - Teens 13 or older,Free!,"['Summary:', 'Other:']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
468,Hagure Yuusha no Aesthetica,6.82,TV (12 eps),Jul 2012 - Sep 2012,"353,235",Arms,"['Action', 'Fantasy', 'Ecchi', 'Super Power']",Light novel,R+ - Mild Nudity,High School DxD,"['Adaptation:', 'Character:', 'Side story:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
469,Demi-chan wa Kataritai,7.58,TV (12 eps),Jan 2017 - Mar 2017,"352,711",A-1 Pictures,"['Comedy', 'Fantasy', 'School', 'Vampire', 'Seinen']",Manga,PG-13 - Teens 13 or older,Monster Musume no Iru Nichijou,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
470,Digimon Adventure,7.77,TV (54 eps),Mar 1999 - Mar 2000,"352,206",Toei Animation,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Other,PG - Children,Pokemon,"['Adaptation:', 'Spin-off:', 'Sequel:', 'Prequel:', 'Side story:', 'Other:', 'Alternative version:']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TV,54
471,Houseki no Kuni (TV),8.4,TV (12 eps),Oct 2017 - Dec 2017,"351,850",Orange,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",Manga,PG-13 - Teens 13 or older,Shinsekai yori,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TV,12
472,Asobi Asobase,8.19,TV (12 eps),Jul 2018 - Sep 2018,"351,461",Lerche,"['Comedy', 'School', 'Seinen']",Manga,PG-13 - Teens 13 or older,Nichijou,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
473,Kekkai Sensen & Beyond,7.83,TV (12 eps),Oct 2017 - Dec 2017,"348,398",Bones,"['Action', 'Comedy', 'Fantasy', 'Supernatural', 'Super Power', 'Vampire', 'Shounen']",Manga,R - 17+ (violence & profanity),Dorohedoro,"['Adaptation:', 'Prequel:', 'Side story:']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
474,Koukaku Kidoutai: Stand Alone Complex,8.44,TV (26 eps),Oct 2002 - Oct 2003,"348,096",Production I.G,"['Action', 'Sci-Fi', 'Mecha', 'Military', 'Police', 'Seinen']",Manga,R - 17+ (violence & profanity),Psycho-Pass,"['Adaptation:', 'Alternative setting:', 'Sequel:', 'Spin-off:', 'Summary:', 'Side story:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,TV,26
475,Kami nomi zo Shiru Sekai II,7.91,TV (12 eps),Apr 2011 - Jun 2011,"347,488",Manglobe,"['Comedy', 'Romance', 'Supernatural', 'Harem', 'Shounen']",Manga,PG-13 - Teens 13 or older,Amagami SS,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
476,Bakemono no Ko,8.3,Movie (1 eps),Jul 2015 - Jul 2015,"347,275",Studio Chizu,"['Adventure', 'Supernatural']",Original,PG-13 - Teens 13 or older,Sen to Chihiro no Kamikakushi,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
477,Grisaia no Rakuen,7.81,TV (10 eps),Apr 2015 - Jun 2015,"346,668",8bit,"['Drama', 'Romance', 'Harem', 'Psychological']",Visual novel,R+ - Mild Nudity,Phantom: Requiem for the Phantom,"['Adaptation:', 'Prequel:', 'Side story:', 'Sequel:']",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TV,10
478,Tamako Market,7.39,TV (12 eps),Jan 2013 - Mar 2013,"346,140",Kyoto Animation,"['Comedy', 'Slice of Life']",Original,PG-13 - Teens 13 or older,K-On!,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
479,B-gata H-kei,6.9,TV (12 eps),Apr 2010 - Jun 2010,"345,451",Hal Film Maker,"['Comedy', 'Romance', 'Ecchi', 'School', 'Seinen']",4-koma manga,PG-13 - Teens 13 or older,Seitokai Yakuindomo,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
480,Tasogare Otome x Amnesia,7.85,TV (12 eps),Apr 2012 - Jun 2012,"344,198",SILVER LINK.,"['Horror', 'Mystery', 'Romance', 'Supernatural', 'School', 'Shounen']",Manga,R - 17+ (violence & profanity),Sankarea,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TV,12
481,Durarara!!x2 Ten,7.99,TV (12 eps),Jul 2015 - Sep 2015,"343,837",Shuka,"['Action', 'Mystery', 'Supernatural']",Light novel,R - 17+ (violence & profanity),Kuroko no Basket 2nd Season,"['Adaptation:', 'Prequel:', 'Sequel:', 'Side story:']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,12
482,Kore wa Zombie Desu ka? of the Dead,7.53,TV (10 eps),Apr 2012 - Jun 2012,"343,581",Studio Deen,"['Action', 'Comedy', 'Supernatural', 'Ecchi', 'Harem']",Light novel,R - 17+ (violence & profanity),High School DxD,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,10
483,Ore wo Suki nano wa Omae dake ka yo,7.36,TV (12 eps),Oct 2019 - Dec 2019,"342,346",Connect,"['Comedy', 'Romance', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"['Adaptation:', 'Summary:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
484,D-Frag!,7.55,TV (12 eps),Jan 2014 - Mar 2014,"341,799",Brain's Base,"['Comedy', 'Game', 'School', 'Seinen']",Manga,PG-13 - Teens 13 or older,GJ-bu,"['Adaptation:', 'Side story:']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
485,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.22,Movie (1 eps),Oct 2017 - Oct 2017,"339,851",ufotable,"['Action', 'Fantasy', 'Supernatural']",Visual novel,R - 17+ (violence & profanity),Kara no Kyoukai 1: Fukan Fuukei,"['Adaptation:', 'Alternative version:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
486,Keijo!!!!!!!!,6.97,TV (12 eps),Oct 2016 - Dec 2016,"337,598",Xebec,"['Action', 'Sports', 'Ecchi', 'Shounen']",Manga,PG-13 - Teens 13 or older,Neon Genesis Evangelion: The End of Evangelion,"['Adaptation:', 'Side story:']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
487,Blood+,7.64,TV (50 eps),Oct 2005 - Sep 2006,"337,478",Production I.G,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Military', 'Vampire']",Original,R - 17+ (violence & profanity),Claymore,"['Adaptation:', 'Alternative version:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,50
488,IS: Infinite Stratos 2,6.5,TV (12 eps),Oct 2013 - Dec 2013,"337,456",8bit,"['Action', 'Comedy', 'Sci-Fi', 'Ecchi', 'Harem', 'Mecha']",Light novel,PG-13 - Teens 13 or older,Freezing Vibration,"['Adaptation:', 'Prequel:', 'Alternative version:', 'Sequel:', 'Side story:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,TV,12
489,Tate no Yuusha no Nariagari Season 2,,TV (? eps),Apr 2022 -,"336,426",DR Movie,"['Action', 'Adventure', 'Drama', 'Fantasy']",Light novel,PG-13 - Teens 13 or older,Wonder Egg Priority,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,?
490,Baka to Test to Shoukanjuu Ni!,7.72,TV (13 eps),Jul 2011 - Sep 2011,"336,330",SILVER LINK.,"['Comedy', 'Romance', 'School', 'Super Power']",Light novel,PG-13 - Teens 13 or older,Motto To LOVE-Ru,"['Adaptation:', 'Prequel:', 'Spin-off:']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
491,Rainbow: Nisha Rokubou no Shichinin,8.5,TV (26 eps),Apr 2010 - Sep 2010,"336,346",Madhouse,"['Drama', 'Suspense', 'Historical', 'Seinen']",Manga,R - 17+ (violence & profanity),Deadman Wonderland,['Adaptation:'],0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,TV,26
492,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,6.99,TV (13 eps),Jul 2012 - Sep 2012,"335,824",Diomedéa,"['Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem']",Light novel,PG-13 - Teens 13 or older,Strike the Blood,['Adaptation:'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,13
493,Mikakunin de Shinkoukei,7.41,TV (12 eps),Jan 2014 - Mar 2014,"335,565",Doga Kobo,"['Comedy', 'Romance', 'Slice of Life', 'School']",4-koma manga,PG-13 - Teens 13 or older,Gekkan Shoujo Nozaki-kun,"['Adaptation:', 'Side story:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
494,Kuroshitsuji: Book of Circus,8.09,TV (10 eps),Jul 2014 - Sep 2014,"335,217",A-1 Pictures,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Demons', 'Historical', 'Shounen']",Manga,R - 17+ (violence & profanity),Pandora Hearts,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,TV,10
495,Ano Natsu de Matteru,7.46,TV (12 eps),Jan 2012 - Mar 2012,"335,047",J.C.Staff,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",Original,PG-13 - Teens 13 or older,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
496,Hidan no Aria,6.84,TV (12 eps),Apr 2011 - Jul 2011,"333,486",J.C.Staff,"['Action', 'Comedy', 'Romance', 'School']",Light novel,PG-13 - Teens 13 or older,Shakugan no Shana,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
497,Bokura wa Minna Kawai-sou,7.69,TV (12 eps),Apr 2014 - Jun 2014,"333,156",Brain's Base,"['Comedy', 'Romance', 'Slice of Life', 'School', 'Seinen']",Manga,PG-13 - Teens 13 or older,Sakura-sou no Pet na Kanojo,"['Adaptation:', 'Side story:', 'Other:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,TV,12
498,Hitsugi no Chaika,7.26,TV (12 eps),Apr 2014 - Jun 2014,"332,642",Bones,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",Light novel,R - 17+ (violence & profanity),Scrapped Princess,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
499,Bokutachi wa Benkyou ga Dekinai,7.31,TV (13 eps),Apr 2019 - Jun 2019,"332,099",Arvo Animation,"['Comedy', 'Romance', 'Harem', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,5-toubun no Hanayome,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
500,Yu☆Gi☆Oh! Duel Monsters,7.46,TV (224 eps),Apr 2000 - Sep 2004,"329,113",Gallop,"['Action', 'Adventure', 'Fantasy', 'Game', 'Shounen']",Manga,PG-13 - Teens 13 or older,Hikaru no Go,"['Adaptation:', 'Sequel:', 'Prequel:', 'Side story:', 'Other:', 'Summary:']",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,224
501,Durarara!!x2 Ketsu,8.08,TV (12 eps),Jan 2016 - Mar 2016,"328,420",Shuka,"['Action', 'Mystery', 'Supernatural']",Light novel,R - 17+ (violence & profanity),Baccano!,"['Adaptation:', 'Prequel:', 'Side story:']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,12
502,Toaru Kagaku no Railgun S,8.04,TV (24 eps),Apr 2013 - Sep 2013,"328,545",J.C.Staff,"['Action', 'Sci-Fi', 'Super Power']",Manga,R - 17+ (violence & profanity),Steins;Gate,"['Adaptation:', 'Parent story:', 'Prequel:', 'Spin-off:', 'Other:', 'Sequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TV,24
